player_name,is_goal,xG/goal,xG
Kevin De Bruyne,9,0.5625677160856929,5.063109444771236
Jamie Vardy,15,0.5972788310158497,8.959182465237745
Danny Ings,18,0.5980688272189876,10.765238889941777
Anthony Martial,14,0.6325869428307883,8.856217199631036
Pierre-Emerick Aubameyang,18,0.6341397381475614,11.414515286656105
Harry Kane,11,0.6345019038380909,6.9795209422190005
Jordan Ayew,9,0.7031229458824682,6.328106512942213
Son Heung-Min,9,0.7053090955441983,6.347781859897784
Richarlison,11,0.7156588142156106,7.872246956371717
Sadio Mané,16,0.7610334507480389,12.176535211968622
Sergio Agüero,14,0.8225438418287393,11.51561378560235
Dominic Calvert-Lewin,13,0.8550447826274428,11.115582174156756
Mohamed Salah,14,0.8911204551206,12.4756863716884
Teemu Pukki,9,0.9316399389269238,8.384759450342314
Raúl Jiménez,12,0.9659081314371152,11.590897577245382
Raheem Sterling,13,0.9793682157079039,12.73178680420275
Chris Wood,11,1.001159740634769,11.012757146982459
Marcus Rashford,9,1.009148499869746,9.082336498827713
Tammy Abraham,13,1.0461392313141396,13.599810007083814
Gabriel Jesus,10,1.2293791480222855,12.293791480222856
